2023-10-01 22:47:35,532.smartsmoker_producer.INFO ==================================================
2023-10-01 22:47:35,532.smartsmoker_producer.INFO Today is 2023-10-01 at 10:47 PM
2023-10-01 22:47:35,533.smartsmoker_producer.INFO Running on: nt Windows 10
2023-10-01 22:47:35,533.smartsmoker_producer.INFO Python version:  3.10.9
2023-10-01 22:47:35,533.smartsmoker_producer.INFO Python path: C:\Users\rp150\rp-venv\44671_StreamingData\Module6\streaming-06-smart-smoker\.venv
2023-10-01 22:47:35,533.smartsmoker_producer.INFO Working dir: C:\Users\rp150\rp-venv\44671_StreamingData\Module6\streaming-06-smart-smoker
2023-10-01 22:47:35,534.smartsmoker_producer.INFO ==================================================
2023-10-01 22:47:37,541.smartsmoker_producer.INFO Reading messages from smoker_temps.csv...
2023-10-01 22:47:37,542.smartsmoker_producer.INFO --- To close the program please select CTRL + c on your keyboard. ---
2023-10-01 22:47:37,542.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:20,84.2]'....
2023-10-01 22:47:37,549.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:20,No data received from row]'....
2023-10-01 22:47:37,559.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:20,No data received from row]'....
2023-10-01 22:47:39,579.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:20,84.2]'....
2023-10-01 22:47:39,588.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:20,No data received from row]'....
2023-10-01 22:47:39,596.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:20,No data received from row]'....
2023-10-01 22:47:41,610.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:21,87.6]'....
2023-10-01 22:47:41,621.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:21,No data received from row]'....
2023-10-01 22:47:41,631.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:21,No data received from row]'....
2023-10-01 22:47:43,666.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:21,87.6]'....
2023-10-01 22:47:43,689.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:21,No data received from row]'....
2023-10-01 22:47:43,708.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:21,No data received from row]'....
2023-10-01 22:47:45,727.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:22,86.3]'....
2023-10-01 22:47:45,759.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:22,No data received from row]'....
